run_dir,output_path,best_val_loss,best_epoch,n_params,loss_recon,loss_kl_lat,loss_kl_mix,loss_smooth,loss_ent,loss_align,loss_l1,MSE,RMSE,MAE,Pearson,Spearman,CCC,Cosine,JSD,Hellinger,EMD
W.2025-11-02_151158.3b11a5aa,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_151158.3b11a5aa,0.199804381,278,60503,0.05,0.01,0,0,-0.05,0.1,0.001,0.058380249,0.241620052,0.081335839,0.042205003,-0.018926518,0.024456209,0.10589088,0.60788186,0.902600478,0.032897026
W.2025-11-02_024524.9d6f6f58,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_024524.9d6f6f58,0.50960505,223,60503,0.1,0.01,0.5,0,-0.1,0.1,0.001,0.058516617,0.241902081,0.082586877,0.009692446,0.008677156,0.001743357,0.078023154,0.630579933,0.923295716,0.0334733
W.2025-11-02_074831.8e9c3c3a,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_074831.8e9c3c3a,0.579978406,174,60503,0.1,0.01,0,0.1,-0.05,0.5,0.0001,0.058529717,0.241929157,0.08262861,-0.004727052,-0.004176274,8.60E-05,0.065666401,0.637329827,0.928633176,0.032028485
W.2025-11-02_115311.7f558d8f,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_115311.7f558d8f,0.167434037,500,60503,0.05,0.01,0,0.2,-0.1,0,0.0001,0.058530717,0.241931224,0.081313084,0.042289763,-0.000244908,0.023840106,0.106002497,0.608158714,0.904279377,0.032477932
W.2025-11-02_113659.b0653b94,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_113659.b0653b94,1.039651752,95,60503,0.2,0.01,1,0.05,-0.05,0.5,0,0.058587506,0.24204856,0.08549253,-0.064928551,0.020165183,-0.056478717,0.013425121,0.657287623,0.945144262,0.032839185
W.2025-11-02_043054.37b181bf,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_043054.37b181bf,0.275990635,271,60503,0.05,0.01,1,0,-0.1,0.1,0.0001,0.058588909,0.242051459,0.08140709,0.042237253,-0.038888304,0.023233146,0.10560963,0.608774952,0.903079768,0.032926583
W.2025-11-02_051906.de0133a9,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_051906.de0133a9,0.299649954,397,60503,0.1,0.01,0,0.2,-0.05,0.1,0.0001,0.058590203,0.242054133,0.081339602,0.042452763,0.083158703,0.024154437,0.105801172,0.608129878,0.904018372,0.032550337
W.2025-11-02_164754.0979557e,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_164754.0979557e,0.403300345,283,60503,0.1,0.01,2,0,-0.1,0.5,0.0001,0.058603964,0.242082557,0.085714863,-0.066141121,-0.040377846,-0.056300169,0.014360221,0.662889899,0.953066692,0.034469039
W.2025-11-02_102538.35124220,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_102538.35124220,0.533590198,356,60503,0.2,0.01,0.5,0.2,-0.05,0.5,0,0.058639115,0.242155147,0.085427938,-0.065258432,-0.018587902,-0.056192605,0.014339128,0.659597237,0.951455989,0.032217432
W.2025-11-01_164037.83f97643,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_164037.83f97643,0.292816639,500,60503,0.05,0.05,0,0.2,-0.1,0,0,0.0586741,0.242227373,0.083753825,-0.017546701,-0.06332805,-0.021025928,0.054059074,0.640875869,0.931449644,0.032110365
W.2025-11-02_014532.b7233fd4,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_014532.b7233fd4,0.27414462,500,60503,0.05,0.05,0,0,-0.1,0,0.001,0.058676044,0.242231386,0.083621202,-0.016555591,-0.023626218,-0.021422912,0.05546242,0.641638173,0.935905089,0.030963151
W.2025-11-01_192735.2c91d7f9,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_192735.2c91d7f9,0.269893318,500,60503,0.05,0.05,0,0.1,-0.05,0.1,0.0001,0.058684637,0.242249121,0.08410148,-0.039213124,-0.133712209,-0.026481403,0.037257795,0.655498523,0.949364555,0.032352191
W.2025-11-02_090427.95283070,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_090427.95283070,0.479301214,153,60503,0.1,0.01,0.5,0.1,-0.1,0.5,0.0001,0.058691384,0.242263048,0.085443745,-0.063328141,0.01959488,-0.054924058,0.015353064,0.657938957,0.94755371,0.033318431
W.2025-11-02_125503.57a66152,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_125503.57a66152,0.643178582,251,60503,0.2,0.01,0.5,0.2,-0.1,0.1,0,0.058719846,0.242321781,0.083650106,-0.014615527,-0.001352298,-0.017201922,0.056833292,0.640348268,0.934356985,0.033065725
W.2025-11-01_164717.7fbef194,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_164717.7fbef194,0.370268941,500,60503,0.1,0.05,0.5,0.1,-0.1,0.1,0,0.058736691,0.242356537,0.084545793,-0.037370752,-0.026713488,-0.035572143,0.03821735,0.650111928,0.942967656,0.032474653
W.2025-11-01_225605.190bf167,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_225605.190bf167,0.193869427,141,60503,0.05,0.001,1,0.1,-0.05,0.5,0.0001,0.058743869,0.242371345,0.083326724,0.001682617,-0.018903711,-0.009601594,0.070005199,0.629680897,0.922757327,0.03141756
W.2025-11-01_175227.5596e1f0,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_175227.5596e1f0,0.345996886,500,60503,0.1,0.05,0,0.05,-0.1,0,0.0001,0.058768508,0.242422169,0.083224212,-0.013010161,0.030007605,-0.017302087,0.057873873,0.634500601,0.928232223,0.030994256
W.2025-11-02_104208.73b2682e,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_104208.73b2682e,0.852398813,221,60503,0.1,0.05,0,0.2,-0.1,0.5,0.0001,0.05890216,0.242697672,0.085659945,-0.065536031,0.015050168,-0.056178183,0.013826868,0.661608102,0.951176734,0.033849112
W.2025-11-01_234056.25c21f3e,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_234056.25c21f3e,0.498273194,114,60503,0.05,0.01,1,0.1,-0.1,0.5,0.001,0.058989976,0.24287852,0.085861093,-0.069076978,-0.053786484,-0.059728272,0.009501933,0.663739214,0.951464642,0.032835011
W.2025-11-01_184415.d6a332d3,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_184415.d6a332d3,0.588241041,113,60503,0.05,0.01,1,0.2,-0.1,0.5,0,0.059004811,0.242909059,0.083161897,0.003197034,-0.054814961,-0.008744151,0.071061663,0.624758223,0.915405454,0.032644177
W.2025-11-02_083313.fe6f232b,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_083313.fe6f232b,0.500522971,430,60503,0.2,0.001,1,0.1,-0.1,0,0.001,0.059136237,0.243179434,0.08395089,-0.019620642,0.062146565,-0.031203451,0.054994863,0.648721477,0.949785639,0.034732849
W.2025-11-01_201732.51be6f80,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_201732.51be6f80,0.643936574,119,60503,0.05,0.01,0.5,0,-0.1,0.5,0.0001,0.059181732,0.243272958,0.083953237,-0.017644062,-0.040534655,-0.020876832,0.05313497,0.645357924,0.936680133,0.032418114
W.2025-11-02_165200.5c31ebf7,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_165200.5c31ebf7,0.267074138,500,60503,0.1,0.01,0,0,-0.05,0,0.001,0.059185204,0.243280093,0.083687558,-0.016275051,-0.034272767,-0.019379923,0.055151352,0.640281442,0.932737211,0.032239348
W.2025-11-01_191027.8872551f,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_191027.8872551f,0.376680911,282,60503,0.1,0.01,0,0.1,-0.1,0.5,0,0.059215477,0.243342304,0.085022672,-0.055125464,0.091245401,-0.04638462,0.021774931,0.654391533,0.947542285,0.030700132
W.2025-11-01_152334.da994574,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_152334.da994574,0.664450169,194,60503,0.2,0.01,0,0.1,-0.1,0.1,0.001,0.059295835,0.243507361,0.081499135,0.042257813,0.00017697,0.023706145,0.104765448,0.610963646,0.905867467,0.032807894
W.2025-11-02_134035.a44abb86,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_134035.a44abb86,0.622613013,500,60503,0.2,0.05,0,0.1,-0.1,0,0.0001,0.059305917,0.243528062,0.083799711,-0.017170964,-0.044818901,-0.020491318,0.053789746,0.642349298,0.933446607,0.032339563
W.2025-11-02_133653.e621c735,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_133653.e621c735,1.048497558,187,60503,0.05,0.05,0.5,0.1,-0.1,0.5,0.0001,0.059428575,0.243779768,0.083653772,-0.01515414,0.104894549,-0.018271931,0.055373486,0.638523184,0.929635419,0.032690454
W.2025-11-02_082208.55c2545b,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_082208.55c2545b,0.657400966,132,60503,0.1,0.01,0.5,0,-0.1,0.5,0.001,0.059466673,0.243857895,0.084648766,-0.037143491,0.042417816,-0.037360152,0.036022202,0.648377946,0.938751929,0.031539117
W.2025-11-02_120430.8b30a448,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_120430.8b30a448,0.200631037,95,60503,0.05,0.001,0.5,0,-0.1,0.1,0.0001,0.059469895,0.2438645,0.081454886,0.042760096,0.005905335,0.024810576,0.104983344,0.610521098,0.906366003,0.032696594
W.2025-11-02_095054.4a03b8de,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_095054.4a03b8de,0.344830632,255,60503,0.1,0.01,0,0.1,-0.05,0.1,0.001,0.059532916,0.24399368,0.085698259,-0.065463904,0.028294105,-0.055894985,0.013331375,0.664410459,0.956611607,0.033340725
W.2025-11-02_164631.e249555b,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_164631.e249555b,0.406910866,69,60503,0.1,0.001,0,0.1,-0.1,0.5,0.0001,0.05957577,0.244081482,0.08240357,0.018912509,-0.034145181,0.006097416,0.084366241,0.631645526,0.927588904,0.03182424
W.2025-11-01_173441.d319c76e,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_173441.d319c76e,0.254808664,500,60503,0.05,0.05,0.5,0.05,-0.1,0,0.001,0.059664806,0.244263805,0.083758123,-0.015529004,-0.015625498,-0.018537302,0.054737497,0.642091702,0.934915194,0.031556546
W.2025-11-02_051443.54a9f48c,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_051443.54a9f48c,0.525918305,303,60503,0.05,0.05,1,0,-0.1,0.5,0.0001,0.059719375,0.244375479,0.08456662,-0.035367037,0.01825821,-0.034344884,0.038673168,0.650004355,0.942201359,0.033228689
W.2025-11-02_011142.a5bb986f,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_011142.a5bb986f,0.707513392,500,60503,0.2,0.05,0.5,0.1,-0.1,0.1,0.0001,0.059819156,0.244579549,0.084617717,-0.035305639,0.009884655,-0.03350119,0.038904654,0.651959946,0.946537352,0.032983704
W.2025-11-02_184157.40a0875a,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_184157.40a0875a,0.338256031,500,60503,0.05,0.05,0,0.2,-0.1,0,0.0001,0.059902746,0.244750375,0.085627088,-0.066214942,-0.021987021,-0.056996794,0.011278257,0.661608675,0.95171171,0.03208621
W.2025-11-02_030206.6db3ecd2,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_030206.6db3ecd2,0.236786857,500,60503,0.05,0.05,0,0,-0.05,0,0,0.05990541,0.244755818,0.08455694,-0.036128186,-0.010087557,-0.034968292,0.036722694,0.650858773,0.942575758,0.031419866
W.2025-11-02_071538.a0226e64,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_071538.a0226e64,0.245953694,500,60503,0.1,0.05,0,0.1,-0.05,0,0,0.059965572,0.244878689,0.084517193,-0.034753933,0.009954121,-0.033144496,0.037747743,0.649770022,0.941748377,0.030971068
W.2025-11-01_185843.ac6b6ce7,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_185843.ac6b6ce7,0.178882957,500,60503,0.05,0.01,0.5,0.1,-0.1,0,0.001,0.059967647,0.244882924,0.08286937,-0.003490681,-0.014880084,-0.001505633,0.066051726,0.641719843,0.936853954,0.032752788
W.2025-11-01_153902.e4095842,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_153902.e4095842,0.637884021,135,60503,0.1,0.01,0.5,0,-0.1,0.5,0,0.059981618,0.244911448,0.084801822,-0.036940689,0.073346142,-0.036958944,0.035898973,0.65038794,0.941210484,0.032832912
